Merk;Type;Omschrijving;Component code;prijs verkoop;Artikelnummer Eriks;Artikelnummer TU;Co2 eq kg;Gewicht [kg];Gietijzer;Metalen;Fossiele materialen;Aluminium;Staal;RVS;Koper;Brons;Keramiek;Rubber;polymeren en compositen;Injectie gevormde magneet;elektra;
Grundfoss;ALPHA1 GO 15-40 130;pomp;CP01; € 649,00 ;n.v.t.;5959434;10,4;1,73;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%;
Grundfoss;ALPHA1 25-60 N 180;pomp;CP01; € 667,00 ;n.v.t.;5795750;10,4;1,82;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%;
Grundfoss;DN25 Alpha1 25-80 180;pomp;CP01; € 722,00 ;n.v.t.;5959364;10,4;2,179;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%;
Grundfoss;DN32 Alpha1 32-80 180;pomp;CP01; € 757,00 ;n.v.t.;5959357;10,4;2,32;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%;
Tour & Anderson;STAD15;Inregelafsluiter (standaard);IRA01-15-ST; € 295,00 ;n.v.t.;5114517;1,22;0,47;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Tour & Anderson;STAD20;Inregelafsluiter (standaard);IRA01-20-ST; € 315,00 ;n.v.t.;5114524;1,22;0,55;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Tour & Anderson;STAD25;Inregelafsluiter (standaard);IRA01-25-ST; € 350,00 ;n.v.t.;5114531;1,22;0,68;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Tour & Anderson;STAD32;Inregelafsluiter (standaard);IRA01-32-ST; € 375,00 ;n.v.t.;5114538;1,22;1;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Tour & Anderson;STAD40;Inregelafsluiter (standaard);IRA01-40-ST; € 413,00 ;n.v.t.;5114545;1,22;1,4;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
Tour & Anderson;STAD50;Inregelafsluiter (standaard);IRA01-50-ST; € 480,00 ;n.v.t.;5114552;1,22;2;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
